price,propertyType,size,rooms,bathrooms,floor,hasLift,parkingSpace,city,house_status
370000,flat,126,3,2,2,0,0,Oeiras,0
248000,flat,72,2,1,2,0,0,Oeiras,0
499000,flat,155,2,1,2,0,0,Oeiras,0
585000,flat,180,3,3,2,1,0,Oeiras,0
498500,flat,78,1,1,1,False,0,Oeiras,0
344000,flat,90,3,1,1,1,0,Oeiras,0
198500,studio,32,0,1,0,False,0,Oeiras,0
498500,flat,74,1,1,1,False,0,Oeiras,0
550000,flat,78,2,1,1,False,0,Oeiras,0
597500,flat,215,3,2,2,0,0,Oeiras,0
350000,flat,92,3,2,2,False,1,Oeiras,0
1490000,chalet,301,4,5,0,0,1,Oeiras,0
330000,flat,148,3,2,2,False,0,Oeiras,0
690000,flat,132,3,2,2,0,0,Oeiras,0
580000,flat,180,3,2,2,0,0,Oeiras,0
380000,flat,101,3,2,3,1,1,Oeiras,0
575000,flat,125,2,2,0,1,0,Oeiras,1
730000,flat,130,3,3,3,1,0,Oeiras,1
710000,flat,149,3,3,2,1,0,Oeiras,1
690000,flat,149,3,3,1,1,0,Oeiras,1
615000,flat,120,2,3,3,1,0,Oeiras,1
585000,flat,122,2,2,2,1,0,Oeiras,1
575000,flat,122,2,2,1,1,0,Oeiras,1
550000,flat,122,2,2,0,1,0,Oeiras,1
450000,flat,120,1,2,4,1,0,Oeiras,1
700000,flat,130,3,2,6,1,0,Oeiras,1
700000,flat,130,3,1,6,1,0,Oeiras,1
680000,flat,130,3,2,5,1,0,Oeiras,1
680000,flat,130,3,2,4,1,0,Oeiras,1
670000,flat,130,3,2,3,1,0,Oeiras,1
670000,flat,130,3,2,2,1,0,Oeiras,1
720000,flat,130,3,2,1,1,0,Oeiras,1
680000,flat,202,3,2,3,1,0,Oeiras,1
567000,flat,118,2,2,2,1,0,Oeiras,1
494000,flat,110,2,2,2,1,0,Oeiras,1
402000,flat,99,1,1,1,1,0,Oeiras,1
675000,flat,202,3,2,3,1,0,Oeiras,1
1100000,duplex,301,3,5,1,1,1,Oeiras,0
710000,flat,137,3,3,10,1,1,Oeiras,1
680000,flat,137,3,3,7,1,1,Oeiras,1
630000,flat,137,3,3,2,1,1,Oeiras,1
399000,flat,132,3,2,6,1,1,Oeiras,0
177500,studio,35,0,1,2,1,0,Oeiras,0
399000,flat,152,3,2,4,1,1,Oeiras,0
395000,flat,84,3,2,2,False,0,Oeiras,0
720000,flat,198,3,3,1,1,0,Oeiras,0
710000,flat,198,3,3,1,1,1,Oeiras,0
267500,flat,82,2,1,0,1,0,Oeiras,0
260000,flat,75,2,1,2,1,0,Oeiras,0
668000,chalet,303,5,3,0,0,1,Oeiras,0
395000,flat,115,3,2,2,1,0,Oeiras,0
365000,flat,96,1,2,2,0,0,Oeiras,0
549000,chalet,144,3,2,0,0,0,Oeiras,0
550000,flat,78,2,2,2,0,0,Oeiras,0
498500,flat,78,1,2,2,0,0,Oeiras,0
498500,flat,74,1,1,2,0,0,Oeiras,0
198500,studio,32,0,1,2,0,0,Oeiras,0
297500,flat,75,2,1,2,0,0,Oeiras,0
1160000,flat,380,3,2,2,0,0,Oeiras,0
235000,flat,87,3,1,1,False,0,Oeiras,0
450000,flat,141,3,2,1,1,0,Oeiras,0
234900,flat,68,2,1,1,False,0,Oeiras,0
580000,flat,180,3,2,1,1,0,Oeiras,0
960000,chalet,252,5,3,0,0,1,Oeiras,0
2490000,chalet,379,3,4,0,0,0,Oeiras,0
1350000,chalet,418,5,6,0,0,1,Oeiras,-1
939750,flat,156,4,5,2,1,1,Oeiras,0
650000,flat,161,3,3,2,0,0,Oeiras,0
735000,flat,161,3,3,2,0,0,Oeiras,0
715000,flat,161,3,3,2,0,0,Oeiras,0
740000,flat,149,3,3,2,0,0,Oeiras,0
720000,flat,149,3,3,2,0,0,Oeiras,0
875000,flat,331,3,3,2,0,0,Oeiras,0
732000,flat,153,3,3,2,0,0,Oeiras,0
710000,flat,153,3,3,2,0,0,Oeiras,0
775000,flat,220,3,3,2,0,0,Oeiras,0
1390200,chalet,186,4,4,0,0,1,Oeiras,0
463790,flat,79,1,2,1,1,1,Oeiras,0
595000,flat,131,3,2,2,0,0,Oeiras,0
647521,flat,109,2,3,1,1,1,Oeiras,0
751275,flat,123,3,2,1,1,1,Oeiras,0
895000,flat,201,4,4,2,0,0,Oeiras,0
525000,flat,106,2,2,2,0,0,Oeiras,0
915000,flat,201,4,4,2,0,0,Oeiras,0
925000,flat,241,4,4,2,0,0,Oeiras,0
775000,flat,161,3,3,2,0,0,Oeiras,0
310000,flat,106,3,2,0,1,0,Oeiras,0
549000,chalet,144,3,2,0,0,0,Oeiras,0
258000,flat,111,3,1,0,False,0,Oeiras,0
4500000,chalet,341,3,5,0,0,1,Oeiras,1
330000,flat,54,1,1,1,1,1,Oeiras,1
410000,flat,105,3,2,2,0,0,Oeiras,0
775000,flat,190,3,2,2,0,0,Oeiras,0
655000,flat,134,3,2,3,0,0,Oeiras,0
600000,flat,141,2,3,3,1,0,Oeiras,0
635000,flat,155,2,2,2,0,0,Oeiras,0
150000,flat,52,2,1,1,False,0,Oeiras,0
399000,flat,127,3,2,2,1,0,Oeiras,0
370000,flat,74,2,1,2,False,0,Oeiras,0
239000,flat,53,1,1,2,0,0,Oeiras,0
649000,chalet,259,4,4,0,0,0,Oeiras,0
985000,flat,216,4,3,12,1,1,Oeiras,0
1970000,chalet,269,4,5,0,0,1,Oeiras,0
690000,duplex,201,4,2,2,0,0,Oeiras,0
690000,duplex,201,4,3,3,1,1,Oeiras,0
1860000,flat,330,4,4,7,1,1,Oeiras,0
450000,flat,104,2,2,3,1,0,Oeiras,0
385000,flat,120,3,2,4,1,0,Oeiras,0
479000,chalet,273,3,4,0,0,1,Oeiras,0
255000,flat,77,2,1,1,0,0,Oeiras,0
639000,chalet,139,4,3,0,0,1,Oeiras,0
285000,flat,96,2,1,8,1,0,Oeiras,0
435000,flat,101,2,2,2,1,0,Oeiras,0
245000,flat,70,1,1,4,1,0,Oeiras,0
1297000,chalet,489,5,4,0,0,0,Oeiras,0
1340000,chalet,295,4,3,0,0,0,Oeiras,0
749000,flat,158,3,3,7,1,1,Oeiras,0
255000,flat,77,2,1,3,False,0,Oeiras,0
624000,flat,100,3,3,4,1,1,Oeiras,1
627000,chalet,298,5,5,0,0,1,Oeiras,0
690000,flat,132,3,2,2,1,1,Oeiras,0
189000,flat,81,2,2,4,False,0,Oeiras,0
700000,flat,177,4,4,6,1,1,Oeiras,0
240000,chalet,90,3,2,0,0,0,Oeiras,0
267500,flat,82,2,1,0,1,0,Oeiras,0
1350000,flat,150,4,3,2,1,1,Oeiras,0
209500,flat,67,2,1,1,False,0,Oeiras,0
1600000,duplex,270,4,4,2,1,1,Oeiras,0
295000,flat,75,3,1,1,False,0,Oeiras,0
565000,flat,123,2,2,2,1,1,Oeiras,0
220000,flat,42,1,1,0,False,0,Oeiras,-1
375000,flat,103,2,2,2,False,0,Oeiras,0
280000,flat,103,2,2,2,0,0,Oeiras,0
295000,flat,99,2,1,2,0,0,Oeiras,0
363000,flat,72,2,1,7,1,0,Oeiras,0
450000,flat,153,4,2,2,0,0,Oeiras,0
279000,flat,63,2,1,2,0,0,Oeiras,0
730000,flat,194,3,3,2,0,0,Oeiras,0
218000,flat,77,2,1,0,False,0,Oeiras,0
570000,chalet,227,3,4,0,0,1,Oeiras,0
179000,flat,49,2,1,1,0,0,Oeiras,0
1250000,chalet,223,4,3,0,0,1,Oeiras,0
1250000,chalet,223,4,3,0,0,1,Oeiras,0
627000,chalet,298,5,4,0,0,1,Oeiras,0
167500,studio,32,0,1,5,1,0,Oeiras,0
627000,chalet,440,7,4,0,0,1,Oeiras,0
890000,flat,150,3,2,2,1,1,Oeiras,0
290000,flat,153,3,1,0,False,0,Oeiras,0
545000,flat,104,2,3,3,1,1,Oeiras,0
485000,flat,91,2,3,4,1,1,Oeiras,0
555000,flat,104,2,3,4,1,1,Oeiras,0
1650000,flat,261,4,5,8,1,1,Oeiras,0
755000,flat,152,3,4,2,1,1,Oeiras,0
770000,flat,152,3,4,3,1,1,Oeiras,0
1600000,flat,244,4,5,8,1,1,Oeiras,0
3395000,chalet,490,5,4,0,0,1,Oeiras,0
1490000,chalet,415,5,3,0,0,1,Oeiras,0
595000,flat,104,2,1,1,0,0,Oeiras,0
4900000,chalet,748,6,7,0,0,0,Oeiras,0
386000,flat,97,3,2,1,False,0,Oeiras,0
200000,flat,46,1,1,0,False,0,Oeiras,-1
465000,flat,128,3,2,3,1,0,Oeiras,0
700000,flat,139,3,2,3,1,0,Oeiras,0
330000,flat,108,3,2,1,0,0,Oeiras,-1
475000,flat,158,3,2,0,1,1,Oeiras,0
355000,flat,75,2,1,6,1,0,Oeiras,0
1399000,chalet,322,5,5,0,0,1,Oeiras,0
550000,flat,166,2,2,1,1,1,Oeiras,0
850000,flat,192,3,3,14,1,0,Oeiras,0
357500,flat,94,2,1,1,1,1,Oeiras,0
475000,flat,84,2,2,2,1,1,Oeiras,1
470000,flat,82,2,2,2,1,1,Oeiras,1
267500,flat,82,2,1,0,1,0,Oeiras,0
4500000,chalet,341,3,5,0,0,1,Oeiras,0
730000,flat,146,3,3,8,1,1,Oeiras,0
265000,flat,76,2,1,4,1,0,Oeiras,0
995000,chalet,264,3,1,0,0,0,Oeiras,0
340000,flat,58,1,1,2,1,1,Oeiras,0
267500,flat,82,2,1,0,1,0,Oeiras,0
1450000,flat,359,4,4,5,1,1,Oeiras,0
360000,flat,86,3,1,1,1,0,Oeiras,0
267500,flat,82,2,1,0,1,0,Oeiras,0
1098000,chalet,369,4,2,0,0,1,Oeiras,0
285000,flat,68,2,1,2,0,0,Oeiras,0
660000,chalet,196,4,2,0,0,0,Oeiras,0
387500,flat,108,3,1,2,0,0,Oeiras,0
990000,flat,328,5,2,16,1,0,Oeiras,0
620000,flat,190,3,3,1,1,1,Oeiras,0
540000,duplex,102,2,2,1,False,0,Oeiras,0
245000,flat,70,1,1,0,1,0,Oeiras,0
550000,flat,156,4,3,4,False,1,Oeiras,0
550000,flat,162,2,2,1,1,1,Oeiras,0
1500000,flat,244,4,5,8,1,1,Oeiras,0
480000,flat,91,2,3,3,1,1,Oeiras,0
1600000,flat,244,4,5,8,1,1,Oeiras,0
475000,flat,91,2,3,2,1,1,Oeiras,0
785000,flat,152,3,4,4,1,1,Oeiras,0
535000,flat,103,2,3,2,1,1,Oeiras,0
480000,flat,91,2,3,3,1,1,Oeiras,0
1490000,chalet,256,4,5,0,0,1,Oeiras,0
380000,flat,99,3,2,1,1,0,Oeiras,0
990000,penthouse,328,5,3,16,1,1,Oeiras,0
585000,flat,127,3,2,1,1,1,Oeiras,0
3250000,chalet,416,4,4,0,0,1,Oeiras,0
227500,flat,60,1,1,1,1,0,Oeiras,-1
370000,flat,130,3,2,1,1,1,Oeiras,0
235000,flat,60,2,1,0,False,0,Oeiras,0
340000,flat,146,2,1,0,1,0,Oeiras,0
235000,flat,81,2,1,1,False,0,Oeiras,0
330000,flat,84,2,1,2,0,0,Oeiras,0
1060000,flat,217,4,4,13,1,1,Oeiras,0
445000,flat,120,3,2,2,0,0,Oeiras,0
357500,flat,94,2,1,2,0,0,Oeiras,0
647521,flat,109,2,2,2,1,1,Oeiras,1
495000,flat,118,2,2,4,1,0,Oeiras,0
260000,flat,61,2,1,2,1,0,Oeiras,-1
675000,flat,165,2,2,2,1,1,Oeiras,0
970000,chalet,203,4,3,0,0,0,Oeiras,0
195000,flat,47,1,1,2,False,0,Oeiras,0
995000,flat,210,4,4,5,1,0,Oeiras,0
294000,flat,85,2,1,2,1,0,Oeiras,0
860000,duplex,114,3,2,3,1,1,Oeiras,1
695000,flat,134,3,3,2,1,1,Oeiras,1
154000,flat,53,2,1,3,False,0,Oeiras,-1
1500000,chalet,246,3,3,0,0,0,Oeiras,0
325000,flat,73,2,1,2,0,0,Oeiras,0
1800000,flat,970,16,15,2,0,0,Oeiras,0
325000,flat,105,3,2,2,0,0,Oeiras,0
395000,flat,183,5,3,2,0,0,Oeiras,0
555000,flat,176,3,2,2,1,0,Oeiras,0
310000,flat,119,3,1,0,False,0,Oeiras,0
575000,flat,155,3,2,2,1,1,Oeiras,0
200000,studio,34,0,1,1,False,0,Oeiras,0
749000,chalet,252,4,6,0,0,1,Oeiras,0
241000,chalet,45,1,1,0,0,0,Oeiras,0
241000,chalet,56,2,1,0,0,0,Oeiras,0
